strategy_file	strategy_name	market	tickers	folds	oos_geo_mean	final_value	final_log_sharpe	score	growth_rate	volatility	basis	frac_beat	total_trades	benchmark_geo_mean
strategyQwenCrypto.py	btc_patience_v11	crypto	BTC-USD,ETH-USD,XRP-USD,ADA-USD	25	1.0947130315348383	9605217.41528156	-0.12037796575264853	-0.005399637046557574	0.010082415385099703	0.030964104863314554	alpha	0.36	134	1.0837311350746603
strategyMinimax27.py	mfi_rsi_adx_chandelier_v6	equity	AAPL,AMD,GOOGL,NVDA	16	1.48072207173285	534043705.79381526	0.2841825787462439	0.2841825787462439	0.39252985510417643	0.21669455271586502	absolute	1.0	673	0.0
strategyFlashEq21.py	dpo_st_adx_v26_optimized	equity	AAPL,AMD,GOOGL,NVDA	16	1.281902378475025	53171541.7770412	0.21220031896800567	0.21220031896800567	0.24834520776369068	0.07228977759137002	absolute	1.0	1355	0.0
strategyFlashEq15.py	dpo_supertrend_adx_refined_v7	equity	AAPL,AMD,GOOGL,NVDA	16	1.1866493901077417	15458193.01574987	0.13118498346263513	0.13118498346263513	0.1711336971918772	0.07989742745848419	absolute	1.0	900	0.0
strategyMiniEq1.py	dpo_williams_adx_regime_v2	equity	AAPL,AMD,GOOGL,NVDA	16	1.1560758849393549	10180789.886539686	0.10045196075188151	0.10045196075188151	0.1450314125068924	0.08915890351002177	absolute	0.9375	327	0.0
